Boat Year,Make,Model,Engine Make,Engine HP,Trade in Value
2014,Legend,16 Xtreme,Mercury,60,"$19,000.00"
2014,Crestliner,Super Hawk 1650,Mercury,90,"$12,500.00"
2014,Legend,16 ProSport SC,Mercury,25,"$8,055.34"
2014,Legend,Enjoy More,Mercury,90,"$27,500.00"
2015,Legend,Splash + Flex,Mercury,40,"$19,000.00"
2015,Legend,15 Angler,Mercury,40,"$11,500.00"
2015,Starfire,160,N/A,N/A,"$12,500.00"
2015,Legend,16 FX,Mercury,90,"$16,500.00"
2015,Legend,14 Ultralite,Mercury,6,"$2,625.00"
2015,Legend,16 Xterminator,Mercury,50,"$13,000.00"
2015,Legend,18 Xtreme,Mercury,90,"$21,000.00"
2015,Princecraft,Holiday DLX,Mercury,75,"$18,000.00"
2015,PrinceCraft,Sportfisher 21-4S,Mercury,40,"$15,000.00"
2015,Legend,18 Xcalibur,Mercury,90,"$33,136.00"
2015,Alumacraft,Dakota 1470,Evinrude,25,"$4,000.00"
2015,Legend,15 AllSport,Mercury,40,"$13,196.00"
2015,Legend,BayShore Flex,Mercury,60,"$25,350.00"
2015,Legend,16 Xterminator,Mercury,50,"$15,000.00"
2015,Legend,20 Camo CC,Mercury,150,"$20,000.00"
2015,Legend,Splash,Mercury,25,"$13,500.00"
2015,Legend,16 CX,Mercury,40,"$15,000.00"
2016,Legend,16 Xtreme,Mercury,90,"$27,783.69"
2016,Legend,14 ProSport LS (OLD),Mercury,25,"$7,500.00"
2016,Legend,14 ProSport LS,Mercury,25,"$10,750.00"
2016,Legend,14 Widebody SS,Mercury,9.9,"$4,500.00"
2016,Legend,16 Xcalibur,Mercury,90,"$18,500.00"
2016,Princecraft,Amarok DLX SC,Mercury,75,"$17,395.00"
2016,Legend,Splash + Flex,Mercury,60,"$21,000.00"
2016,Legend,14 ProSport LS,Mercury,20,"$8,000.00"
2016,Legend,F17,Mercury,90,"$37,538.11"
2016,Four Winns,H180,Mercruiser,3.0L Alpha,"$20,000.00"
2016,Legend,18 Xcalibur,Mercury,90,"$21,000.00"
2016,Legend,X20,Mercury,150,"$30,000.00"
2016,Princecraft,Fisherman 14,Mercury,9.9,"$4,000.00"
2016,Legend,16 FX,Mercury,75,"$20,000.00"
2016,Larson,LX 160S,Mercury,115,"$16,000.00"
2016,Legend,X16,Nissan,90,"$28,500.00"
2016,Legend,X18 (Cognac),Mercury,115,"$24,000.00"
2016,Legend,15 AllSport,Mercury,40,"$11,900.00"
2017,Legend,16 Xtreme,Mercury,60,"$21,000.00"
2017,Legend,Splash + Fish Tail,Mercury,25,"$43,163.69"
2017,Legend,15 Angler,Mercury,30,"$14,000.00"
2017,Legend,Enjoy Cruising,Mercury,90,"$28,500.00"
2017,Legend,16 XTR,Mercury,90,"$25,999.00"
2017,Legend,14 Widebody SS,Mercury,20,"$5,300.00"
2017,Lund,Guide V14,Mercury,20,"$6,500.00"
2017,Legend,15 Angler,Mercury,40,"$14,150.00"
2017,Legend,16 Xcalibur,Mercury,90,"$16,000.00"
2017,Legend,Splash + SuperFlex,Mercury,60,"$41,814.81"
2017,Legend,Splash +,Mercury,40,"$36,434.09"
2017,Legend,16 XTR,Mercury,90,"$22,000.00"
2017,Princecraft,Resorter DLX SC,Mercury,40,"$13,500.00"
2017,Legend,15 Angler,Mercury,25,"$9,000.00"
2017,Legend,X16,Mercury,90,"$21,000.00"
2017,Legend,16 Xtreme,Mercury,60,"$26,600.00"
2017,Legend,Splash +,Mercury,40,"$18,000.00"
2017,Legend,Enjoy Transporting,Mercury,60,"$18,500.00"
2017,Legend,X18,Mercury,115,"$24,000.00"
2017,Legend,16 FX,Mercury,90,"$24,000.00"
2017,Legend,Black Series Lounge,Mercury,150,"$50,000.00"
2017,Legend,F17,Mercury,115,"$30,000.00"
2017,Legend,16 Xtreme,Mercury,60,"$19,500.00"
2017,Legend,Splash + Fish Tail Sport,Mercury,115,"$30,000.00"
2017,Legend,Enjoy Flexibility,Mercury,90,"$27,000.00"
2018,Legend,15 AllSport,Mercury,50,"$22,178.00"
2018,Legend,15 AllSport,Mercury,40,"$15,200.00"
2018,Legend,18 XTR,Mercury,90,"$29,000.00"
2018,Legend,16 XTR,Mercury,60,"$28,000.00"
